id,name,beginning_date_and_hour,end_date,logo_image_path,large_picture_path,has_ended,rating,edition
1,Quadro A,12/01/2022 21:30,23/02/2022,playoff_quadroA_poster.png,porto.png,False,500,Play Off
2,Quadro B,12/01/2022 21:30,23/02/2022,playoff_quadroB_poster.png,porto2.png,False,500,Play Off
